year	month	day	00:00-2:59	3:00-5:59	6:00-8:59	9:00-11:59	12:00-14:59	15:00-17:59	18:00-20:59	21:00-23:59	Sin dato	Total General
2017	3	16	2	2	6	4	4	5	6	7	2	38
2017	3	17	3	2	2	7	7	8	10	8	3	50
2017	3	18	11	3	1	4	3	5	6	8	5	46
2017	3	19	10	9	5	3	1	10	9	9	2	58
2017	3	20	6	6	2	10	5	6	6	13	4	58
2017	3	21	3	2	5	4	3	6	7	5	0	35
2017	3	22	2	0	9	7	3	6	11	4	0	42
2017	3	23	1	3	1	6	1	4	4	7	1	28
2017	3	24	1	2	4	9	5	7	12	6	1	47
2017	3	25	1	1	0	4	4	2	6	5	1	24
2017	3	26	2	8	3	8	11	6	8	10	6	62
2017	3	27	7	1	0	2	1	0	3	1	4	19
2017	3	28	2	0	3	10	1	5	3	1	1	26
2017	3	29	3	2	6	4	2	2	1	7	3	30
2017	3	30	1	1	1	5	4	5	6	3	1	27
2017	3	31	1	1	4	5	5	9	8	2	3	38
2017	4	0	121	88	75	135	103	155	147	160	52	1036
2017	4	1	10	7	3	10	2	5	9	7	2	55
2017	4	2	12	10	1	3	8	9	5	9	3	60
2017	4	3	4	3	5	2	4	5	4	4	4	35
2017	4	4	1	1	4	6	7	5	2	6	2	34
2017	4	5	2	0	6	5	6	6	9	4	1	39
2017	4	6	4	4	0	6	4	11	2	6	3	40
2017	4	7	0	0	2	5	4	7	4	2	2	26
2017	4	8	8	0	1	1	5	2	7	15	0	39
2017	4	9	7	7	3	3	2	3	7	9	4	45
2017	4	10	8	3	1	3	5	3	1	2	1	27
2017	4	11	2	4	0	9	2	4	4	6	0	31
2017	4	12	1	0	1	4	0	4	4	5	2	21
2017	4	13	4	2	1	1	4	3	5	7	1	28
2017	4	14	2	3	0	0	1	2	1	3	0	12
2017	4	15	2	3	0	2	4	1	3	3	1	19
2017	4	16	4	5	3	2	3	7	6	5	2	37
2017	4	17	1	2	2	6	2	5	5	4	1	28
2017	4	18	3	2	3	5	1	2	4	5	1	26
2017	4	19	3	1	2	6	6	5	7	3	1	34
2017	4	20	2	0	3	6	6	7	4	5	1	34
2017	4	21	1	1	3	4	3	7	4	7	1	31
2017	4	22	8	1	2	8	2	7	5	4	4	41
2017	4	23	12	10	11	3	5	14	9	9	5	78
2017	4	24	3	4	1	4	1	7	7	3	4	34
2017	4	25	3	2	5	3	2	6	4	1	1	27
2017	4	26	0	1	5	5	1	4	3	3	1	23
2017	4	27	0	1	3	4	4	5	5	3	0	25
2017	4	28	2	1	2	8	4	3	2	6	1	29
2017	4	29	5	2	1	3	2	3	7	6	2	31
2017	4	30	7	8	1	8	3	3	8	8	1	47
2017	5	0	118	86	121	161	126	214	178	176	41	1221
2017	5	1	8	6	8	4	3	13	11	5	4	62
2017	5	2	1	0	4	4	2	7	3	6	0	27
2017	5	3	1	0	3	4	0	6	6	5	0	25
2017	5	4	2	2	1	6	3	3	7	7	1	32
2017	5	5	0	0	3	6	5	5	4	3	0	26
2017	5	6	3	1	1	3	5	3	2	12	1	31
2017	5	7	8	12	15	5	6	4	2	7	0	59
2017	5	8	2	3	2	3	7	9	6	5	3	40
2017	5	9	2	1	4	4	2	5	6	1	0	25
2017	5	10	1	0	0	5	6	6	6	10	0	34
2017	5	11	1	1	3	5	1	6	4	0	1	22
2017	5	12	7	2	4	6	3	9	1	2	2	36
2017	5	13	3	3	2	6	3	3	4	7	1	32
2017	5	14	7	9	4	7	2	9	5	10	2	55
2017	5	15	14	3	1	5	3	4	3	1	4	38
2017	5	16	3	0	5	10	2	11	8	5	2	46
2017	5	17	1	2	4	7	10	13	9	3	1	50
2017	5	18	2	1	5	9	4	5	8	12	2	48
2017	5	19	2	0	2	7	6	9	15	4	1	46
2017	5	20	4	5	5	2	8	11	7	8	1	51
2017	5	21	8	11	7	8	4	10	9	7	1	65
2017	5	22	1	1	2	9	6	4	4	3	2	32
2017	5	23	3	1	5	5	2	11	2	4	2	35
2017	5	24	2	0	2	7	5	1	6	2	0	25
2017	5	25	0	2	1	4	4	4	3	3	2	23
2017	5	26	2	3	6	3	4	4	4	8	2	36
2017	5	27	4	1	8	4	6	11	6	15	2	57
2017	5	28	10	3	5	5	8	6	12	8	1	58
2017	5	29	10	9	2	2	2	10	3	5	0	43
2017	5	30	1	3	0	1	2	5	5	2	1	20
2017	5	31	5	1	7	5	2	7	7	6	2	42
2017	6	0	134	92	91	160	101	161	160	159	45	1103
2017	6	1	4	3	5	3	2	4	6	1	2	30
2017	6	2	1	1	2	6	3	3	10	4	3	33
2017	6	3	4	1	1	9	1	4	8	10	1	39
2017	6	4	18	5	10	5	3	12	10	10	2	75
2017	6	5	5	7	3	3	5	7	5	3	0	38
2017	6	6	0	1	1	4	2	8	7	3	0	26
2017	6	7	0	2	4	4	6	4	7	3	0	30
2017	6	8	1	2	0	6	5	3	4	3	2	26
2017	6	9	1	5	1	10	3	13	11	5	3	52
2017	6	10	7	6	6	5	1	6	5	3	3	42
2017	6	11	9	3	1	8	2	2	6	12	2	45
2017	6	12	3	1	5	7	4	7	6	3	2	38
2017	6	13	0	0	1	3	3	3	5	5	5	25
2017	6	14	5	3	2	6	5	4	8	12	1	46
2017	6	15	2	0	5	3	1	7	4	6	2	30
2017	6	16	0	4	4	2	2	3	4	6	0	25
2017	6	17	3	1	2	4	1	6	7	4	2	30
2017	6	18	14	9	3	12	8	13	3	19	3	84
2017	6	19	16	2	0	5	1	5	7	3	2	41
2017	6	20	2	0	5	4	2	3	1	6	0	23
2017	6	21	5	4	4	9	6	8	0	5	0	41
2017	6	22	1	5	0	7	6	4	2	5	1	31
2017	6	23	2	1	6	2	3	5	3	1	0	23
2017	6	24	3	11	3	5	4	5	3	6	2	42
2017	6	25	11	7	4	10	3	7	10	5	1	58
2017	6	26	11	4	3	5	1	2	4	2	1	33
2017	6	27	2	0	3	1	8	3	3	3	2	25
2017	6	28	1	3	2	3	4	3	6	0	2	24
2017	6	29	0	0	2	5	2	3	0	4	1	17
2017	6	30	3	1	3	4	4	4	5	7	0	31
2017	7	0	130	93	80	148	114	166	166	165	35	1097
2017	7	1	3	3	1	5	0	8	1	4	3	28
2017	7	2	11	12	5	9	10	8	5	7	3	70
2017	7	3	13	11	3	6	0	10	5	4	2	54
2017	7	4	5	6	2	3	3	4	5	2	1	31
2017	7	5	4	0	0	2	5	4	9	2	2	28
2017	7	6	0	2	4	1	5	0	8	7	0	27
2017	7	7	3	6	2	5	6	1	1	8	0	32
2017	7	8	9	3	2	7	1	7	11	12	0	52
2017	7	9	11	1	7	4	1	4	2	8	0	38
2017	7	10	5	1	0	4	4	5	3	2	0	24
2017	7	11	0	1	2	10	3	7	8	3	0	34
2017	7	12	0	0	1	2	2	7	3	2	3	20
2017	7	13	1	1	4	5	3	2	4	1	0	21
2017	7	14	2	2	1	4	1	3	3	2	2	20
2017	7	15	2	1	2	4	4	6	6	10	3	38
2017	7	16	10	10	6	8	4	7	8	6	0	59
2017	7	17	2	2	5	6	6	4	3	4	1	33
2017	7	18	0	2	2	2	0	3	4	2	2	17
2017	7	19	1	0	5	3	4	8	8	8	0	37
2017	7	20	4	4	0	6	6	4	4	10	1	39
2017	7	21	7	0	2	4	6	12	8	7	1	47
2017	7	22	3	5	2	7	0	8	4	9	1	39
2017	7	23	11	6	2	5	4	8	5	5	1	47
2017	7	24	1	2	4	4	6	4	9	4	2	36
2017	7	25	0	1	1	5	2	5	8	1	2	25
2017	7	26	3	1	1	4	4	10	2	2	1	28
2017	7	27	0	0	3	3	5	4	3	8	0	26
2017	7	28	2	1	2	6	6	3	7	5	1	33
2017	7	29	5	2	4	4	6	2	5	8	1	37
2017	7	30	9	6	5	5	5	7	5	7	0	49
